category,question,answer
Rezervasyon,Günlük rezervasyonda kilometre ve yakıt kullanımı nasıldır?,Paket fiyatlarına sigorta ve yakıt dahildir. Rezervasyonunu yaparken ihtiyacın olduğu kadar indirimli kilometre paketi satın alabilirsin. Kiralaman esnasında paketin biterse ya da kilometre paketi eklemediğin durumda kullandığın kilometre başına ücret ödersin. Kilometre sınırı bulunmamaktadır.
Ödeme,Minimum kullanım ücreti nedir?,"26.12.2024 tarihinden itibaren minimum kullanım ücreti ₺75 olarak belirlenmiştir. Bu tutarı aşan kullanımlarda ek bir ücret alınmaz. Minimum ücretin altında kalan kullanımlar için ise sabit ₺75 ücret uygulanır. Bu düzenleme, ilk kira ve otopark kampanyaları ile bitaksi uygulaması üzerinden yapılan kiralamalar için geçerli değildir."
Ödeme,GetirAraç Uygulamasında İndirimlerin Hesaplanma ve Birleştirilme Yöntemi,"• Bir kampanyada hem TL hem de yüzdelik indirimler mevcutsa, TL bazlı indirim öncelikli olarak uygulanır.• TL indirimi yapıldıktan sonra kalan tutar üzerinden yüzdelik indirimler uygulanır.• Birden fazla yüzdelik indirim uygulanacak ise öncelikle maksimum indirim tutarı belirlenen indirim uygulanır.• Birden fazla maksimum indirim tutarına sahip yüzdelik indirim mevcutsa, maksimum indirim tutarı bedel olarak düşük olan yüzdelik indirim öncelikle uygulanır."
Ödeme,Fatura alabilir miyim?,"Evet, tüm kiralamaların için bireysel ya da kurumsal fatura alabilirsin. Kiralama öncesi fatura bilgilerini girip bireysel veya kurumsal fatura adresini seçmeyi unutma!"
Ödeme,Faturamı çalıştığım şirkete masraf gösterebilir miyim?,"Evet, fatura adresi oluştururken çalıştığın şirketin bilgilerini girerek kiralamanın faturasını kurumuna kestirebilirsin."
Ödeme,Nasıl fatura adresi oluşturabilirim?,Kiralamanı başlatırken ödeme yöntemi olarak iş adresini ve bilgilerini girerek yeni bir ödeme yöntemi oluşturman yeterli.
Ödeme,Ücretlendirme neye göre belirlenir?,"Dakikalık kullanımların ücreti; aracın marka, model ve vites seçeneğine göre değişir. Haritadaki araç kartlarında ve menüde yer alan ""Araçlar ve Fiyatlar"" başlığının altında; dakikalık kullanım bedeli, günlük kullanım bedeli ve kilometre aşım ücretlerini görebilirsin. Uzun araç kartında ise avantajlı paket tutarlarını bulabilirsin. Ücretlendirmen veya paket kullanımın, ""Onayla ve Öde"" butonuna bastıktan 15 dakika sonra otomatik olarak ya da aracın kapılarını açtığın anda başlar."
Ödeme,Nasıl ödeme yapabilirim?,Kredi kartı veya sanal kart kullanarak yapabilirsin.
Ödeme,Fatura gönderiyor musunuz?,Faturalarına Profil sayfasında yer alan Kullanım Geçmişi bölümünden ulaşabilirsin.
Ödeme,Araçlarınızda Hızlı Geçiş Sistemi (HGS) var mı? Varsa kim ödüyor?,"Araçlarımızda HGS bulunuyor. Yapacağın geçişler, kullanımın bittikten sonra hizmet bedeli ile kredi kartından tahsil edilir."
Ödeme,Kullandığım aracın plakasına trafik cezası kesildi? Ben mi ödeyeceğim?,"Kullanımın sırasında trafik cezası kesilmesi durumunda KABİS aracılığıyla ceza tutanağı, direkt senin adına düzenlenir. Böyle bir durumda cezanı, E-Devlet üzerinden kontrol edebilir ve ödemesini gerçekleştirebilirsin."
Ödeme,Depozito Bedeli Nedir?,"Dakikalık kullanımlar ve saatlik paketlerde depozito, aracın marka ve modeline bağlı olarak değişkenlik gösteren kullanım bedelinin bloke edilmesidir. Günlük paketlerde ise depozito bedeli, paket süresi ve aracın marka ve modeline bağlı olarak değişen dakikalık fiyatı üzerinden hesaplanır. Depozito, kullanımın bittiğinde hemen iptal edilir. Ancak gün sonuna denk gelen kullanım bitişlerinde iptal süreci tamamen bankana ait iptal politikası kapsamında kartına yansır."
Ödeme,Taksit seçeneği hangi kullanımlarda geçerlidir?,"Tüm saatlik, dakikalık ve günlük paketlerde 3, 6 ve 12 ay taksit seçeneğinden yararlanılabilir."
Ödeme,Kampanyalı/indirimli paket kullanımımı taksitlendirebilir miyim?,Paket kullanımlarındaki kampanya indirimi taksit seçeneğine dahildir.
Ödeme,Paket tutarı dışındaki tutarlar da taksite dahil mi?,Köprü ve otoyol geçiş ücretleri ve paket aşım tutarı taksitlendirilmez.
Ödeme,Taksit seçeneği için banka kısıtlaması var mıdır?,Tüm bankaların kredi kartları için geçerlidir.
Ödeme,Taksit tutarını bankam kabul eder mi?,"3, 6 ve 12 aylık taksit tutarları, bankanızın taksitlendirme politikası kapsamında uygulanır. Taksit seçeneğini uygulayamamanız durumunda bankanızla iletişime geçmeniz gerekmektedir."
Ödeme,"İptal, iade durumunda ödememi nasıl geri alabilirim?",Herhangi bir sebepten taksit seçeneği ile ödemen bankanın iade politikası kapsamında taksitli olarak kartına iade edilir.
Üyelik,Nasıl üye olurum?,"GetirAraç’a uygulama üzerinden, ücretsiz bir şekilde üye olabilirsin.İlk olarak kişisel bilgilerini girmeli ve üzerinde TCKN bulunan ehliyetinin fotoğrafını sisteme yüklemelisin. Unutma, yasa gereği TCKN bulunmayan ehliyetlerle araç kullanım işlemi yapılamıyor.Hemen ardından üyelik sözleşmeni kabul ettiğine dair 5 saniyelik kısa bir video çekmen gerekiyor.Yalnız bu videoyu çekerken dikkat etmen gereken birkaç konu var. Sessiz ve aydınlık bir ortamda olman, şapka ya da gözlük gibi bir aksesuar kullanmaman bizim için çok önemli. Aynı zamanda sözleşme metnimizi sesli ve doğru bir şekilde okumalısın.Bu aşamaları tamamlamanın ardından en kısa sürede gerçekleşecek onay sürecinden sonra ücretsiz GetirAraç üyeliğin aktif edilir."
Üyelik,Uygulamayı indirdiğim gibi araç kullanabilir miyim?,Dijital üyelik başvurunu yaptıktan kısa bir süre sonra sistem kontrolleri tamamlanır ve hızlıca araç kullanmaya başlayabilirsin.
Üyelik,Yurtdışından alınan ehliyet ile GetirAraç kullanabilir miyim?,Kullanabilirsin. Üyeliğini oluştururken ehliyetinin fotoğrafına ek olarak pasaportunun fotoğrafını da eklemen gerekir.
Temizlik,GetirAraç'ın temizlik tanımı nedir?,"GetirAraç olarak temizlik bizim için çok önemli. Araçlarımız, gün içinde pek çok kullanıcıya hizmet veriyor. Bundan dolayı bazen müdahale gerektirmeyen tozlanmalar olabiliyor. Fakat araç içinde çamur, kül ya da farklı bir kirlilik oluşturan durumlarla karşılaşırsan, bizimle paylaş. Verdiğin geri bildirimler doğrultusunda saha ekibimizi hemen ilgili araca yönlendirelim."
Temizlik,Araçlarınız ne sıklıkla temizleniyor?,"Araçlarımızın temizlik takvimini, kullanım sıklığını ve buna ek olarak senden gelen geri bildirimler doğrultusunda oluşturuyoruz. Aynı zamanda düzenli aralıklarla bütün araçlarımızı dezenfekte ediyoruz."
Temizlik,Araçlarda sigara yasağı var mı?,"Evet, araçlarımızda sigara içilmesi yasak. Araçlarımız bütün GetirAraç kullanıcılarına hizmet veriyor. Araçlarımızda sigara içilmesine izin vermiyor, tespit ettiğimiz takdirde ise 2.000 TL + KDV tutarındaki detaylı temizlik bedelini sana yansıtıyoruz."
Temizlik,Kirli bir araca denk gelirsem ne yapmalıyım? Ve detaylı temizlik bedeli hangi durumlarda yansıtılır?,"Eğer böyle bir araçla karşılaşırsan kullanımının hemen başında fotoğraflarını çek ve[email protected]adresine mail olarak gönder.Eğer kirli bir araca denk geldiğinde durumu bize aktarmazsan ve senden sonraki kullanıcı şikayette bulunursa 2.000 TL + KDV tutarındaki detaylı temizlik bedelinin sana yansıtılması riski doğabilir.Bu yüzden, özellikle temizlik konusundaki bütün şikayetlerini bizlerle paylaşman çok önemli."
Hasar ve Sigorta,Araçlar sigortalı mı?,"Tüm GetirAraç’larda Zorunlu Mali Sorumluluk Sigorta poliçesi bulunmaktadır.Hasar ve kaza durumlarında, tüm evraklar eksiksiz; polis-jandarma kaza tutanağında veya KTT tramer sonucunda kullanıcının kusur oranı %100 değil ise herhangi bir bedel alınmaz.Karayolları Motorlu Araçlar Zorunlu Mali Sorumluluk Sigortası, GetirAraç tarafından belirlenecek limit ve teminat kapsamını haiz İhtiyari Mali Mesuliyet, Ferdi Kaza ve Deprem, Sel / Su Baskını, G.L.K.H.N.H.T (Grev, Lokavt, Kargaşalık, Halk Hareketleri, Kötü Niyetli Hareketler, Terör) teminatlarını içeren Katastrofik Kasko Sigortası, GetirAraç tarafından yaptırılır.Kaza Tespit Tutanağı, Kolluk Kuvvetleri Tutanağı, Görgü Tespit Tutanağı, İfade Tutanağı sonucunda GetirAraç kullanıcısının %100 (kırmızı ışıkta geçmek, arkadan çarpmak, hız limit aşımı, alkol vb.) kusur oranı var ise  5.000 TL + KDV Hasar Yönetim Bedeli ve hasar onarım bedeli yansıtılır.Hasar yönetim bedeli; aracın kira kaybı, çekici kullanımı gibi giderleri kapsamaktadır. Alkollü araç kullanımı ve olay yerini terk etme gibi durumlarda ise tüm hasar bedelleri ve hasar yönetim bedeli kullanıcıya yansıtılır."
Hasar ve Sigorta,Tek taraflı hasarlarda ne yapmalıyım?,"Aşağıdaki koşulları yerine getirdiğinde kusur oranı %100 değil ise herhangi bir bedel alınmaz.1- Hasar 3.000 TL’den yüksek ise trafik kaza raporunu, alkol raporunu ve kazaya ait detaylı fotoğrafları kaza tarihinden itibaren en geç 2 iş günü içerisinde tam ve eksiksiz olarak GetirAraç’ın istediği servise teslim etmelisin.2- Eğer tüm belgeleri araç hala seninleyken toplayabilirsen aracın içine, torpido gözüne de bırakabilir, fotoğrafları gönderebilirsin.3- Kaza Tespit Tutanağı, Kolluk Kuvvetleri Tutanağı, Görgü Tespit Tutanağı, İfade Tutanağı sonucunda GetirAraç kullanıcısının %100 (kırmızı ışıkta geçmek, arkadan çarpmak, hız limit aşımı, alkol vb.) kusur oranı var ise 5000 TL + KDV Hasar Yönetim Bedeli ve hasar onarım bedeli yansıtılır. Hasar yönetim bedeli; aracın kira kaybı, çekici kullanımı gibi giderleri kapsamaktadır. Alkollü araç kullanımı ve olay yerini terk etme gibi durumlarda ise tüm hasar bedelleri ve hasar yönetim bedeli kullanıcıya yansıtılır. 2.000 TL’ye kadar olan tek taraflı hasarlarda kazaya ait fotoğrafları çekip, açıklaması ile GetirAraç uygulamasına yükleyip, 0850 314 99 88 numarasını arayarak ilgili menüden bildirmen gerekir."
Hasar ve Sigorta,Çift taraflı hasarlarda ne yapmalıyım?,"Aşağıdaki koşulları yerine getirdiğinde kusur oranı ""%100"" değil ise herhangi bir bedel alınmaz.1- Hasar bedeli ne olursa olsun anlaşmalı durumlarda kazaya karışan araçlarla beraber kaza tespit tutanağı tutup, sana ait ehliyet ve karşı tarafın evraklarıyla birlikte (ehliyet, ruhsat, trafik sigortası) aracın torpido gözüne koyman gerekmektedir. Eğer araçta kaza tespit tutanağı yoksa mobil kaza tutanağını linkten indirip online olarak doldurabilirsin: https://bit.ly/mobilkaza/2- Anlaşmanın sağlanamadığı ya da yaralanmalı kaza durumlarında ise olay yerine polisin gelmesi gerekmektedir.3- Sonrasında Trafik Kaza Tespit Raporu ve Alkol Raporu’nun asılları, kazaya ait detaylı fotoğraflar ile ehliyet, Trafik Sigorta Poliçesi gibi belgelerin fotokopilerini kaza tarihinden itibaren en geç 2 iş günü içerisinde tam ve eksiksiz olarak GetirAraç’ın istediği servise teslim etmelisin. Ayrıca 0850 314 99 88 numarasını arayarak ilgili menüden bizi haberdar etmen gerekir.Kaza Tespit Tutanağı, Kolluk Kuvvetleri Tutanağı, Görgü Tespit Tutanağı, İfade Tutanağı sonucunda GetirAraç kullanıcısının %100 (kırmızı ışıkta geçmek, arkadan çarpmak, hız limit aşımı, alkol vb.) kusur oranı var ise 5000 TL + KDV Hasar Yönetim Bedeli ve hasar onarım bedeli yansıtılır.Hasar yönetim bedeli; aracın kira kaybı, çekici kullanımı gibi giderleri kapsamaktadır. Alkollü araç kullanımı ve olay yerini terk etme gibi durumlarda ise tüm hasar bedelleri ve hasar yönetim bedeli kullanıcıya yansıtılır."
Hasar ve Sigorta,Kullandığım araçta lastik hasarı varsa ne yapmalıyım?,"Kullanımını başlatmadan araç lastiklerini kontrol edebilirsin. Kontrollerinin sonucunda aracını sürmene engel herhangi bir hasar ya da olması gereken koşuldan farklı bir durum mevcutsa uygulama üzerinden kullanımını iptal et. İptal sebebinin lastik hasarıyla ilgili olduğunu ilgili kutucuğa yaz ve kullanımını sonlandır. Tarafına herhangi bir kullanım ücreti fatura edildiyse ücret iadesi için müşteri hizmetlerini arayarak bilgi verebilirsin.Sürüş halindeyken araç lastiğinde hasar meydana geldiyse hem kendi can güvenliğin hem de trafikte olan diğer sürücülerin güvenliği için en kısa sürede güvenli bir alana park et. Kullanımını sonlandırırken hasar bildirim şablonundan zarar gören lastiğe en yakın ve seçilebilen noktaya basarak lastik hasarını bildir. Son olarak ise müşteri hizmetlerini arayarak konuyla ilgili bilgi verebilirsin. Eğer lastik hasarı bir kaza sonucu oluştuysa diğer hasarlarla alakalı soruları inceleyip, oradaki süreçleri uygulaman gerekir."
Otopark,AVM otoparklarını nasıl ücretsiz kullanabilirim?,"AVM otoparkından kullanımınızı başlattığınızda otopark ödemesi varsa araçtaki fişle ödemenizi yapar, kullanım sonunda ‘’Otopark Fişi’' sekmesinden fotoğrafını paylaşırsınız.  2 gün içinde ödediğiniz tutarın %50 fazlası size kampanya olarak tanımlanır. Otoparkta ödeyeceğiniz ücretin ücretlendirme politikası AVM’lere aittir, değişkenlik gösterebilir.Kullanım sonunda İstanbul’da hizmet bölgesi içerisindeki AVM otoparklarına ücretsiz bir şekilde park edip fişinizi sonraki kullanıcının görebileceği bir yere bırakmanız yeterli! Fişin araç içine bırakılmaması halinde cezai işlem uygulanabilir."
Otopark,Nereye park edebilirim?,"Hizmet bölgesi içinde, aracın çekilmeyeceği, güvenli, senden sonraki sürücünün kolaylıkla araca ulaşabileceği alanlara park edebilirsin. GetirAraç'ın ücretli otoparka bırakılması durumunda otopark bedeli bırakan kullanıcıya yansıtılır. Ücretli bir otoparka bırakılan GetirAraç'ı kullandıysan; ücreti ödemen ve aldığın fişin fotoğrafını[email protected]’a göndermen otopark ücretini sana iade etmemiz için yeterli."
Otopark,Hangi otoparkları ne şekilde ücretsiz kullanabilirim?,"Uygulamanın sağ üst köşesindeki “Otoparklar” ikonundan ücretsiz olarak kullanabileceğin otoparkları görebilirsin.Bu otoparklardan kullanımını başlattığında ödemesini yapar, kullanımının sonunda 4 açı fotoğraftan sonra göreceğin ‘’Otopark Fişi’' sekmesinden fotoğrafını paylaşırsın. 2 gün içinde ödediğin tutarın %50 fazlasını sana kampanya olarak tanımlarız.İzmir’de ise İzelman otoparkları ücretsiz olarak kullanılmaktadır, araç alırken de bırakırken de ödeme yapman gerekmez."
Otopark,İzelman Otoparkları'nı nasıl kullanabilirim?,"Yol ve yer altı otoparkları olarak isimlendirilen otoparklar, kısıtlı internet erişimi sebebiyle ücretsiz kullanım kapsamında değildir. Tamamen online olarak hizmet veren GetirAraç’ın özellikle kullanım başlatma ve bitirme süreçlerinde aktif bir internet erişimi olması gerekir. Alsancak Tam Otomatik Otoparkı ise otomatik sistemi dolayısıyla ortak paylaşım araçlarımız için kullanılmamalıdır.Geri kalan tüm açık, kapalı ve yol kenarı İzelman Otoparkları, İzmir hizmet bölgemiz içinde olsun olmasın, GetirAraç kullanıcıları için ücretsizdir.Kullanımını hizmet bölgesi dışında sonlandıramayacağın için hizmet bölgesi dışında kalan İzelman Otoparkları’nı sadece park etmek için kullanabilirsin.Bir İzelman Otoparkı’na giriş yaparken gişe görevlisine, otomobilin GetirAraç’a ait olduğunu söylemeyi unutma. Bu sayede gişe görevlisi, senin için ücretsiz park sürecini başlatabilir."
Havalimanı Yolculukları,Sabiha Gökçen’den araç alırken ne yapmalıyım?,Metro yolunu tercih edeceksen (valizin varsa önerilir) metroya gidiş tünelinde ATM’lerden sağa dönerek 2 numaralı çıkıştan çık. “ISG AIRPORT HOTEL” tabelalarını takip et. Otelin solunda bulunan otoparkta GetirAraç’ları göreceksin. Ücretsiz otoparktan çıkarken bariyerler otomatik açılacaktır.Terminal yolunu tercih edeceksen terminalden çıktıktan sonra sola dön. “ISG AIRPORT HOTEL” tabelalarını takip et. Yürüme yolunu takip eden merdivenlerden indikten sonra oteli göreceksin. Otelin solunda bulunan otoparkta GetirAraç’ları bulabilirsin. Ücretsiz otoparktan çıkarken bariyerler otomatik açılacaktır.
Havalimanı Yolculukları,Sabiha Gökçen’e araç bırakırken ne yapmalıyım?,Havalimanına giriş yaptıktan sonra mavi renkle yazılı “ISG AIRPORT HOTEL” tabelasını takip et. Viyadüğün altından geçecek şekilde sol şeritten devam et. Viyadük sonrası ilk döner kavşaktan sola dönerek sağda otelin bulunduğu kısmı göreceksin. Otelin solunda GetirAraç’ları park edebileceğin alanı görebilirsin. Görevliye GetirAraç kullandığını söyleyerek ücretsiz park edebilirsin.Aracı bıraktıktan sonra terminal yolunu tercih edeceksen GetirAraç’ı otoparkta bıraktıktan sonra bariyerlere giden yaya yolunu izle. ‘’Havalimanı’’ tabelalarını takip et. Yürüme yolundan 3 dakika içinde “Gelen Yolcu” katına ulaşabilirsin. Havalimanı içinden “Giden Yolcu” katına çıkabilirsin.Metro yolunu tercih edeceksen (valizin varsa önerilir) GetirAraç’ı otoparka bıraktıktan sonra “ISG AIRPORT HOTEL’'in bulunduğu kısımdan çık. Sol tarafındaki 2 numaralı metro girişinden girip 3 numaralı çıkışı takip ederek 5 dakika içinde havalimanına ulaşabilirsin.
Havalimanı Yolculukları,İstanbul Havalimanı'ndan araç alırken ne yapmalıyım?,"Uygulama üzerinden müsait durumda bulunan ve sana en uygun olan aracı seç.Seçtiğin araç, otopark girişindeki yönlendirmelerle bulabileceğin Rent a Car (R) Katı- Araç Teslim, Sarı Otopark’ta ""I, J, K, L"" kolonlarında seni bekliyor olacak. Aracının Rent a Car (R) Katı'ndaki yerini, bir önceki kullanıcının açıklamaları ve aracın fotoğrafları ile kolayca bulabilirsin.Aracını kullandıktan sonra otopark çıkışındaki bariyerler otomatik olarak açılacak. Açılmadığı durumda ise otopark fişi alınan makine üzerinde bulunan telefon tuşuna basarak görevlilere, GetirAraç otomobili ile çıkış yapmak istediğini belirterek destek isteyebilirsin."
Havalimanı Yolculukları,İstanbul Havalimanı'na araç bırakırken ne yapmalıyım?,"Havalimanı ana giriş kapısından geçtikten hemen sonra Rent a Car (R) Katı- Araç Teslim tabelalarını takip ederek Sarı Otopark, ""I, J, K, L"" kolonlarına ulaşabilirsin.Plakalarımız tanımlı olduğu için otopark girişindeki bariyerler otomatik olarak açılacak.Açılmadığı durumda ise otopark fişi alınan makine üzerinde bulunan telefon tuşuna basarak görevlilere, GetirAraç otomobili ile giriş yapmak istediğini belirterek destek isteyebilirsin.Sonrasında aracını Rent a Car (R) Katı’nda bulunan Sarı Otopark'ta ""I, J, K, L"" kolonlarına bırakabilirsin. Aracı bıraktığın park alanına ait tarif bilgisi ve fotoğrafı, otopark rengi ve kolon numarasını içerecek şekilde paylaşman GetirAraç ve senden sonraki kullanıcı için çok önemli."
Havalimanı Yolculukları,İzmir Adnan Menderes Havalimanı'ndan araç alırken ne yapmalıyım?,"Uygulama üzerinden müsait durumda bulunan ve sana en uygun olan aracı seç. Seçtiğin araç Havalimanı Otoparkı, Rent a Car - Araç Kiralama Katı’nda seni bekliyor olacak.Uygulama üzerinden “Yol Tarifi Al” butonuna dokunarak aracını kolayca bulabilirsin.Havalimanı Otoparkı’ndan çıkarken otopark bedelini ödemen gerekiyor. Ödemeni yaptıktan sonra fişin fotoğrafını çekip, IBAN adresinle birlikte[email protected]adresine mail atabilirsin."
Havalimanı Yolculukları,İzmir Adnan Menderes Havalimanı'na araç bırakırken ne yapmalıyım?,"Havalimanına giriş yaptıktan sonra İç Hatlar Terminali’ne doğru ilerle ve Rent a Car - Araç Kiralama Otoparkı’na git. Otoparka girerken aldığın fişi, araç içinde kolay görünebilir bir noktaya bıraktığından emin olun."
İletişim,Çağrı merkezi numarası nedir?,"Çağrı merkezimize0850 314 99 88numarasından 7 gün 24 saat boyunca, saniyeler içerisinde ulaşabilirsin."
İletişim,GetirAraç iletişim bilgileri nelerdir?,Unvan: Getir Araç Dijital Ulaşım Çözümleri Ticaret Anonim ŞirketiGenel Müdürlük: Etiler Mah. Tanburi Ali Efendi Sk. Maya Residences Sitesi T Blok No: 13 İç Kapı No: 334 Beşiktaş / İstanbulMERSİS No: 0622197415300001Kep Adresi:[email protected]Telefon:0850 314 99 88E-posta:[email protected]
